date,schema_version,source,lag_days,trend_tag,volatility_tag,drawdown_tag,breadth_tag,dispersion_tag,llm_style_summary
2023-04-03,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,broad,high,risk_off_stress
2023-04-04,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,high,stress,broad,high,risk_off_stress
2023-04-06,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,broad,high,risk_off_stress
2023-04-11,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,broad,high,risk_off_stress
2023-04-12,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,broad,high,risk_off_stress
2023-04-13,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,high,risk_off_stress
2023-04-14,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,high,risk_off_stress
2023-04-17,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,high,balanced
2023-04-18,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,high,selective_alpha
2023-04-19,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,high,selective_alpha
2023-04-20,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,high,selective_alpha
2023-04-21,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-04-24,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-04-25,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-04-26,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-04-27,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-04-28,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-05-02,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-05-03,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-05-04,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-05-05,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-05-08,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-05-09,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-05-10,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-05-11,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-05-12,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-05-15,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,watch,broad,normal,balanced
2023-05-16,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-05-17,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,watch,broad,normal,balanced
2023-05-18,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,watch,weak,normal,defensive
2023-05-19,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,watch,weak,normal,defensive
2023-05-22,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,calm,weak,normal,defensive
2023-05-23,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,calm,weak,normal,defensive
2023-05-24,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,watch,weak,normal,defensive
2023-05-25,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,watch,weak,normal,defensive
2023-05-29,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,watch,weak,normal,defensive
2023-05-30,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,watch,weak,normal,defensive
2023-05-31,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-06-01,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-06-02,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-06-05,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-06-06,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-06-07,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-06-08,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-06-09,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,weak,normal,risk_off_stress
2023-06-12,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,weak,normal,risk_off_stress
2023-06-13,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-06-14,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-06-15,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-06-16,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-06-19,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-06-20,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-06-21,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-06-23,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,watch,broad,normal,risk_on_trend
2023-06-26,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,watch,broad,normal,risk_on_trend
2023-06-27,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,watch,broad,normal,risk_on_trend
2023-06-28,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,watch,broad,normal,balanced
2023-06-29,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-06-30,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-07-03,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-07-04,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-07-05,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-07-06,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-07-07,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-07-10,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-07-11,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,watch,broad,normal,balanced
2023-07-12,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-07-13,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-07-14,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-07-18,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-07-19,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-07-20,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-07-21,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,watch,broad,normal,balanced
2023-07-24,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,watch,broad,normal,balanced
2023-07-25,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-07-26,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-07-27,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-07-28,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-07-31,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-08-01,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,watch,broad,normal,balanced
2023-08-02,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,watch,broad,normal,balanced
2023-08-03,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,high,calm,broad,normal,balanced
2023-08-04,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,high,calm,broad,normal,balanced
2023-08-07,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,high,calm,broad,normal,balanced
2023-08-08,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,normal,risk_on_trend
2023-08-09,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,watch,broad,normal,balanced
2023-08-10,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,watch,broad,normal,balanced
2023-08-11,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,calm,broad,normal,balanced
2023-08-14,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,up,normal,calm,broad,normal,risk_on_trend
2023-08-15,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,watch,broad,normal,balanced
2023-08-16,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,watch,broad,normal,balanced
2023-08-17,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,watch,broad,normal,balanced
2023-08-18,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,watch,broad,normal,balanced
2023-08-21,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-08-22,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-08-23,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-08-24,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-08-25,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-08-28,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-08-29,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-08-30,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-08-31,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-04,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-05,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,weak,normal,balanced
2023-09-06,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-07,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-11,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-12,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,watch,weak,normal,defensive
2023-09-13,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-14,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-15,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-18,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-19,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-20,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-21,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-09-22,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-09-25,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-09-26,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-09-27,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-09-28,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-09-29,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,normal,stress,broad,normal,balanced
2023-10-03,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-10-04,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-10-05,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-10-06,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-10-09,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-10-10,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,weak,normal,risk_off_stress
2023-10-11,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-10-12,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-10-13,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-10-16,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,weak,normal,defensive
2023-10-17,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-10-18,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
2023-10-19,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,mixed,high,stress,broad,normal,risk_off_stress
2023-10-20,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,normal,risk_off_stress
2023-10-24,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,weak,normal,risk_off_stress
2023-10-25,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,normal,risk_off_stress
2023-10-26,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,normal,risk_off_stress
2023-10-27,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,normal,risk_off_stress
2023-10-30,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,normal,risk_off_stress
2023-10-31,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,weak,normal,risk_off_stress
2023-11-01,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,normal,risk_off_stress
2023-11-02,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,normal,risk_off_stress
2023-11-03,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,normal,risk_off_stress
2023-11-06,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,normal,risk_off_stress
2023-11-07,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,high,stress,broad,normal,risk_off_stress
2023-11-08,case_lingxi_market_tags_v1,deterministic_lagged_context_proxy_for_llm_tags,5,down,normal,stress,broad,normal,balanced
